Player,Age,Height,Foot
Kilian Ludewig,25,1.75m,Right
Fabricio Baiano,33,1.79m,Right
Takayuki Seto,39,1.81m,Right
Tommi Jyry,25,1.70m,Right
Tidiane Keita,28,1.80m,Right
Mario Bratu,23,1.75m,Left
Lucian Dumitriu,32,1.80m,Right
Alexandru Mateiu,35,1.75m,Right
Victor Stancovici,19,1.79m,Right
David Paraschiv,18,N/A,N/A
Sergiu Hanca,33,1.82m,Right
,19,1.80m,Both
Valentin Gheorghe,28,1.75m,Right
Gheorghe Grozav,34,1.82m,Right
Alin Botogan,21,N/A,N/A
Mihnea Radulescu,19,1.68m,Left
Alexandru Isfan,25,1.88m,Left
Nana Akosah-Bempah,27,1.78m,Right
Alexandru Tudorie,29,1.92m,Right
Albin Berisha,24,1.89m,N/A
Christian Irobiso,32,1.94m,Left
Herman Moussaki,26,1.86m,Right
,20,N/A,N/A
Ali Demirel,22,1.82m,Right
Iustin Raducan,19,1.77m,Right
Raul Bucur,22,N/A,N/A
,15,N/A,N/A
Iustin Popescu,31,1.88m,Right
Cosmin Dur-Bozoanca,27,1.82m,Left
Maksym Kovalyov,24,1.88m,Right
Darius Paharnicu,20,N/A,N/A
Nikola Stevanovic,26,1.90m,Right
Jonathan Cisse,28,1.95m,Right
Martin Angha,31,1.88m,Both
Julian Bonilla,28,1.92m,Left
Francois Yabre,34,1.80m,Right
Miguel Silva,29,1.91m,Left
Josip Tomasevic,31,1.80m,Left
Alexandru Mituletu,21,N/A,Left
David Maftei,20,1.70m,Right
Milen Zhelev,31,1.80m,Right
Mihai Adascalitei,30,1.85m,Both
Andrei Rus,23,1.76m,Right
,22,N/A,Right
Valerio Gallo,20,1.80m,Right
,26,1.75m,Right
Diego Zivulic,33,1.87m,Right
Ionut Neagu,35,1.76m,Right
Juri Cisotti,32,1.75m,Right
Samuel Teles,28,1.80m,Right
Samy Bourard,29,1.80m,Right
,27,1.88m,Right
Victor Bogaciuc,25,1.85m,Both
Nelut Rosu,31,1.74m,Left
Cristian Chira,23,1.80m,Right
Radu Postelnicu,17,N/A,N/A
Vasilije Djuric,26,1.78m,Right
Razvan Tanasa,22,1.73m,Right
Alexandru Burcea,20,1.77m,Right
Luca Andronache,21,1.89m,Right
Frederic Maciel,31,1.75m,Right
Ahmed Bani,22,1.74m,Left
Maxim Cojocaru,27,1.77m,Right
Alexandru Pop,25,1.83m,Right
Jovan Markovic,24,1.83m,Right
Stipe Juric,26,1.85m,Right
Erik Bicfalvi,37,1.87m,Right
Alexandru Stan,19,N/A,N/A
Albert Hofman,22,1.82m,Left
Stiven Plaza,26,1.89m,Right
Catalin Cabuz,29,1.87m,N/A
Vlad Mutiu,30,1.87m,Right
Ionut Pop,27,1.88m,Right
Tiberiu Capusa,27,1.83m,Right
Vahid Selimovic,28,1.91m,Right
Florin Bejan,34,1.86m,Right
Ionut Stoica,37,1.86m,Right
Valerica Gaman,36,1.91m,Right
Tiago Goncalves,24,1.83m,Left
,21,N/A,Left
Alexandru Oroian,24,1.75m,Right
,24,1.80m,Right
Alessandro Murgia,28,1.85m,Right
Antoni Ivanov,29,1.70m,Left
Ciprian Biceanu,31,1.84m,Right
Dragos Iancu,22,1.87m,Left
Kalifa Kujabi,25,1.85m,Left
Ianis Gandila,19,N/A,N/A
Silviu Balaure,29,1.80m,Right
,22,N/A,N/A
Ronaldo Deaconu,28,1.82m,Left
Alexandru Luca,21,N/A,N/A
Ianis Stoica,22,1.80m,Right
Robert Popescu,22,1.89m,Right
Ianis Mihart,20,1.88m,Right
Cristian Negut,29,1.76m,Right
Jovan Markovic,24,1.83m,Right
Aurelian Chitu,34,1.83m,Left
Sergiu Bus,32,1.85m,Right
Robert Popa,22,1.85m,Right
Dejan Iliev,30,1.95m,Right
Andrei Gorcea,23,1.89m,N/A
Aleksander Mitrovic,22,1.93m,Right
Mario Popescu,21,N/A,N/A
Patric Toderean,20,N/A,N/A
Lucas Rosu,18,N/A,N/A
Ibrahima Conte,29,1.91m,Right
Florent Poulolo,28,1.89m,N/A
Khadim Rassoul,29,1.87m,Left
Alexandru Benga,36,1.88m,Right
Darius Iurasciuc,19,1.89m,N/A
,17,1.80m,N/A
Razvan Trif,27,1.80m,Left
Kouya Mabea,26,1.77m,Left
Diogo Rodrigues,25,1.83m,Right
Ravy Tsouka,30,1.81m,Right
Damien Dussaut,30,1.82m,Right
Cornel Rapa,35,1.80m,Right
Cristian Mihai,20,N/A,Right
Benjamin Van Durmen,28,1.85m,Left
Denis Hrezdac,23,1.82m,N/A
Joao Pedro,32,1.77m,Right
Andrej Fabry,28,1.77m,Left
Paul-Jose Mpoku,33,1.74m,Right
Andrei David,22,N/A,Right
Valentin Borcea,22,1.75m,Right
,17,1.70m,N/A
Alexandru Matei,17,N/A,N/A
Marinos Tzionis,23,1.69m,Right
Valentin Costache,26,1.78m,Right
Eric Omondi,30,1.86m,Right
Ze Pedro,28,1.75m,Left
Raul Stanciu,18,1.84m,Right
Andrei Tolcea,17,N/A,N/A
Alexandru Cimpanu,24,1.78m,Left
Lamine Ghezali,25,1.75m,Right
Marian Danciu,23,N/A,Right
Loai Halaf,24,1.85m,Right
Ahmet Ekmekci,21,1.68m,N/A
Shayon Harrison,27,1.83m,Left
Nsungusi Effiong,25,1.95m,Left
Imoh Ezekiel,31,1.78m,Right
Jordan Kadiri,25,1.81m,Right
Daniel Zsori,24,1.83m,Left
Raoul Cristea,22,N/A,N/A
,26,1.84m,Right
Agustin Vuletich,33,1.85m,Right
Abris Samson,18,N/A,N/A
,18,1.80m,N/A
Giannis Anestis,34,1.98m,Right
Eduard Pap,30,1.86m,Right
Luka Kukic,29,1.90m,Right
Alin Ciobanu,17,N/A,N/A
Paul Iacob,29,1.85m,Left
Andrei Miron,31,1.85m,Right
Rijad Sadiku,25,1.87m,Right
Patricio Matricardi,31,1.90m,Right
Daniel Celea,29,1.87m,Right
Alin Seroni,38,1.95m,Left
Luca Popa,19,1.90m,Right
Michael Pavlovic,24,1.79m,Left
Alexandru Tiganasu,35,1.79m,Left
